,Date,Standard,Core,Supercore
248,2020-09-01,1.3910228912373812,1.7190644053436621,1.6521504110759366
249,2020-10-01,1.2303863428671624,1.6364116692455521,1.3465957434493303
250,2020-11-01,1.1757452138405844,1.6693780408814973,1.5673447234555882
251,2020-12-01,1.3204191315779434,1.624313961356294,1.4416470039152696
252,2021-01-01,1.3553199782346148,1.3872433599783962,0.9675833699842151
253,2021-02-01,1.667502410800381,1.2738901148221515,1.2968630671084336
254,2021-03-01,2.623645747764214,1.6472323949463519,1.8071510440455407
255,2021-04-01,4.137373453318349,2.965237482408023,3.199467815875856
256,2021-05-01,4.9264665639830785,3.7846819284734767,3.9996867313315088
257,2021-06-01,5.317418943207719,4.423187598975353,3.991733865140601
258,2021-07-01,5.269167647240969,4.207353331662866,3.309166977104039
259,2021-08-01,5.181323173271246,3.9486331224713345,3.1679490884742423
260,2021-09-01,5.363523425270289,4.013639084827814,3.234300221280706
261,2021-10-01,6.226591220771449,4.5832621627442505,3.748240246037171
262,2021-11-01,6.865559520296194,4.974424126142218,3.5743623707047423
263,2021-12-01,7.159457345112474,5.504159561442767,3.8672903407202863
264,2022-01-01,7.578082463000535,6.058443287379434,4.751411416028217
265,2022-02-01,7.949220898953979,6.455520430171058,4.817200887707296
266,2022-03-01,8.540780148538584,6.480311508806325,5.194295839823027
267,2022-04-01,8.235161744022502,6.157309612390649,5.487840765455831
268,2022-05-01,8.530051713089225,6.019814344888674,5.953572952605146
269,2022-06-01,8.999298141923106,5.907970951845765,6.829886520604456
270,2022-07-01,8.447778206754553,5.900466194610221,6.817412722804428
271,2022-08-01,8.216255059541266,6.29379150673246,7.43163033227936
272,2022-09-01,8.205751582451759,6.632895644682146,8.177349450975502
273,2022-10-01,7.757261470809462,6.295779498595766,7.544100606357529
274,2022-11-01,7.131380368978291,5.9648355215570215,7.304342098763406
275,2022-12-01,6.410831677385809,5.684013449220071,7.493082215003666
276,2023-01-01,6.340296309929161,5.539070917262623,7.24998097474534
277,2023-02-01,5.957648712766894,5.495462366785087,6.890201857685607
278,2023-03-01,4.931348641757127,5.562820885401543,6.021452884390999
279,2023-04-01,4.946947488062325,5.513746497104743,5.104572940688867
280,2023-05-01,4.125314539356473,5.336273579898587,4.138335873562404
281,2023-06-01,3.0592533347792994,4.857674424932568,3.19297560975611
282,2023-07-01,3.28032820234625,4.7034702453572,3.288011301078164
283,2023-08-01,3.7186358677607556,4.4048526208603445,3.168583186603824
284,2023-09-01,3.6950823322234427,4.135362292603273,2.7666061650235774
285,2023-10-01,3.2465375076767167,4.025639569645367,3.044844724947926
286,2023-11-01,3.139855644977696,4.0147711077664905,3.5452504079263036
287,2023-12-01,3.322200208829762,3.9136391835001616,3.4563806190350377
288,2024-01-01,3.1079425939238847,3.866726134430176,3.559997668566428
289,2024-02-01,3.16642120765831,3.7678766972380595,3.9084635311260385
290,2024-03-01,3.4690014354717524,3.8145272562212673,4.730232299261772
291,2024-04-01,3.3540471111874304,3.623609253156701,4.811919080083205
292,2024-05-01,3.238866396761142,3.390513713213905,4.969565832844625
293,2024-06-01,2.9700853998204435,3.260555773603513,4.797200540529634
294,2024-07-01,2.9384633061405374,3.2282600603963596,4.651572061404163
295,2024-08-01,2.6109140322338353,3.2918235662659834,4.359282995543112
296,2024-09-01,2.432541464144644,3.289914234939606,4.42941484194006
297,2024-10-01,2.5714034967967203,3.292843083424035,4.530292606234609
298,2024-11-01,2.7141684004842848,3.280053013544726,4.1391677205185
299,2024-12-01,2.872366268806581,3.213613000031912,4.0286096440759644
300,2025-01-01,2.999412512831112,3.2920999144371965,3.9380406455322925
301,2025-02-01,2.8142703731568686,3.143667506456893,3.774838951566184
302,2025-03-01,2.4055852640280317,2.8087333707957463,3.2553634020431765
303,2025-04-01,2.3337465177498906,2.781521177848578,3.32411241640278
304,2025-05-01,2.3759340869898393,2.7671488714145154,3.509059209955989
305,2025-06-01,2.6726833178446263,2.907869813377406,3.8229293969341605
306,2025-07-01,2.7318012794754543,3.0486026845763847,4.037140248882909
307,2025-08-01,2.9392196249335534,3.1121908210068217,4.04314348951027
308,2025-09-01,3.022699626172387,3.0255427244533672,3.6983762353564043
309,2025-10-01,2.8949753457301775,2.834112556265689,3.5096931780650653
310,2025-11-01,2.711969385272184,2.6188786153326316,3.541323744965874
311,2025-12-01,2.653312468710922,2.648965653766222,3.418096388332814
